id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
365,Australia,AUS,900,2012,1331,Roma,2,Queensland,Roma,NA,Maranoa,0,NA,flood,2012-0037,-26.56470735,148.801322
365,Australia,AUS,900,2012,1342,Tenterfield,2,New South Wales,Tenterfield,NA,Tenterfield,0,NA,flood,2012-0037,-28.944678,152.0862682
365,Australia,AUS,900,2012,1373,Walgett,2,New South Wales,Walgett,NA,Lightning Ridge,0,NA,flood,2012-0037,-29.81780269,148.1944686
366,Australia,AUS,900,2013,1021,Bundaberg,2,Queensland,Bundaberg,NA,Bundaberg,0,NA,storm,2013-0008,-24.87893574,152.3443795
366,Australia,AUS,900,2013,1325,Rockhampton,2,Queensland,Rockhampton,NA,Rockhampton,0,NA,storm,2013-0008,-23.35095644,150.5251617
268,Australia,AUS,900,1968,1055,Cunderdin,2,Western Australia,Cunderdin,NA,Meckering,0,NA,earthquake,1968-0077,-31.59958132,117.1557197
290,Australia,AUS,900,1994,1121,Irwin,2,Western Australia,Irwin,NA,Dongara,0,NA,storm,1994-0127,-29.32645356,115.0917485
290,Australia,AUS,900,1994,1171,Moora,2,Western Australia,Moora,NA,Moora Perth,0,NA,storm,1994-0127,-30.49806675,116.1854356
315,Australia,AUS,900,2001,1061,Unincorporated Norther Territories,2,Northern Territory,Unincorporated Norther Territories,NA,Kalkarindji,0,NA,flood,2001-0103,-13.1199263,131.1855719
330,Australia,AUS,900,2004,1009,Bourke,2,New South Wales,Bourke,NA,Warrego,0,NA,flood,2004-0091,-29.9106094,145.3567056
336,Australia,AUS,900,2005,1200,Narrandera,2,New South Wales,Narrandera,NA,Riverina district,0,NA,storm,2005-0068,-34.61126256,146.5796899
341,Australia,AUS,900,2006,1327,Roebourne,2,Western Australia,Roebourne,NA,Karratha,0,NA,storm,2006-0155,-21.04939333,117.0361857
353,Australia,AUS,900,2009,1150,Liverpool Plains,2,New South Wales,Liverpool Plains,NA,Quirindi,0,NA,flood,2009-0589,-31.55062061,150.4384239
360,Australia,AUS,900,2010,1048,Gympie,2,Queensland,Gympie,NA,Gympie,0,NA,flood,2010-0624,-26.14703222,152.4635718
361,Australia,AUS,900,2010,968,Ararat,2,Victoria,Ararat,NA,Wimmera river,0,NA,flood,2010-0656,-37.47271842,142.8431712
361,Australia,AUS,900,2010,1049,Gympie,2,Queensland,Gympie,NA,Cooloola,0,NA,flood,2010-0656,-26.14703222,152.4635718
365,Australia,AUS,900,2012,1010,Bourke,2,New South Wales,Bourke,NA,Bourke  New South Wales,0,NA,flood,2012-0037,-29.9106094,145.3567056
346,Australia,AUS,900,2008,1022,Burdekin,2,Queensland,Burdekin,NA,Burdekin,0,NA,flood,2008-0017,-19.82361057,147.2431058
347,Australia,AUS,900,2008,1023,Burdekin,2,Queensland,Burdekin,NA,Burdekin,0,NA,flood,2008-0098,-19.82361057,147.2431058
350,Australia,AUS,900,2009,1024,Burdekin,2,Queensland,Burdekin,NA,Burdekin,0,NA,flood,2009-0615,-19.82361057,147.2431058
353,Australia,AUS,900,2009,1096,Great Lakes,2,New South Wales,Great Lakes,NA,Great Lakes,0,NA,flood,2009-0589,-32.35601806,152.1535735
353,Australia,AUS,900,2009,1190,Nambucca,2,New South Wales,Nambucca,NA,Nambucca,0,NA,flood,2009-0589,-30.68755635,152.7689389
354,Australia,AUS,900,2010,989,Bega Valley,2,New South Wales,Bega Valley,NA,Brogo rivers,0,NA,flood,2010-0066,-36.82595546,149.7175686
354,Australia,AUS,900,2010,1077,Eurobodalla,2,New South Wales,Eurobodalla,NA,Moruya,0,NA,flood,2010-0066,-35.94515676,149.9470492
361,Australia,AUS,900,2010,1191,Nambucca,2,New South Wales,Nambucca,NA,Nambucca,0,NA,flood,2010-0656,-30.68755635,152.7689389
363,Australia,AUS,900,2011,1064,Derby-West Kimberley,2,Western Australia,Derby-West Kimberley,NA,Derby-West Kimberley,0,NA,flood,2011-0080,-17.79194145,124.9760335
365,Australia,AUS,900,2012,1192,Nambucca,2,New South Wales,Nambucca,NA,Nambucca Heads,0,NA,flood,2012-0037,-30.68755635,152.7689389
01-100,Australia,AUL,900,1986,28008,Orange,2,New South Wales,Orange,NA,Orange,0,NA,storm,1986-0214,-33.32465565,149.1203866
01-102,Australia,AUL,900,1986,28056,Sydney,2,New South Wales,Sydney,NA,Sydney,0,NA,storm,1986-0216,-33.88937695,151.2027403
01-112,Australia,AUL,900,1991,28275,Sydney,2,New South Wales,Sydney,NA,Sydney,0,NA,storm,1991-0140,-33.88937695,151.2027403
01-114,Australia,AUL,900,1993,28388,Melbourne,2,Victoria,Melbourne,NA,Melbourne,0,NA,storm,1993-0517,-37.8105024,144.9438982
01-114,Australia,AUL,900,1993,28389,Greater Shepparton,2,Victoria,Greater Shepparton,NA, Shepparton,0,NA,storm,1993-0517,-36.39699093,145.3861943
01-117,Australia,AUL,900,1995,28460,Bega Valley,2,New South Wales,Bega Valley,NA, Pambula,0,NA,storm,1995-0441,-36.82595546,149.7175686
01-118,Australia,AUL,900,1995,28462,Greater Taree,2,New South Wales,Greater Taree,NA, Tarree ,0,NA,storm,1995-0444,-31.79207045,152.2812151
01-118,Australia,AUL,900,1995,28464,Maitland,2,New South Wales,Maitland,NA, Thornton,0,NA,storm,1995-0444,-32.71081096,151.5497569
01-119,Australia,AUL,900,1995,28477,Brisbane,2,Queensland,Brisbane,NA, Brisbane,0,NA,storm,1995-0445,-27.43781487,153.0385872
01-120,Australia,AUL,900,1996,28497,Bathurst,2,New South Wales,Bathurst,NA, Bathurst ,0,NA,storm,1996-0317,-33.43007958,149.5255535
01-120,Australia,AUL,900,1996,28498,Dubbo,2,New South Wales,Dubbo,NA,Dubbo,0,NA,storm,1996-0317,-32.22520559,148.6641647
01-120,Australia,AUL,900,1996,28499,Young,2,New South Wales,Young,NA, Young,0,NA,storm,1996-0317,-34.22595246,148.2310648
01-120,Australia,AUL,900,1996,28500,Sydney,2,New South Wales,Sydney,NA, Southern Sydney,0,NA,storm,1996-0317,-33.88937695,151.2027403
01-124,Australia,AUL,900,2001,28549,Parramatta,2,New South Wales,Parramatta,NA,Granville,0,NA,flood,2001-0028,-33.80981304,151.0154109
01-124,Australia,AUL,900,2001,28551,Hornsby,2,New South Wales,Hornsby,NA, Hornsby ,0,NA,flood,2001-0028,-33.58682929,151.0891425
01-124,Australia,AUL,900,2001,28553,Wentworth,2,New South Wales,Wentworth,NA, Wenworthville,0,NA,flood,2001-0028,-33.57019464,142.2428434
01-124,Australia,AUL,900,2001,28554,Hawkesbury,2,New South Wales,Hawkesbury,NA, Hawkesbury ,0,NA,flood,2001-0028,-33.33482779,150.7731982
01-124,Australia,AUL,900,2001,28555,Holroyd,2,New South Wales,Holroyd,NA,Merrylands,0,NA,flood,2001-0028,-33.82836263,150.957471
Jan-64,Australia,AUL,900,1974,29925,Brisbane,2,Queensland,Brisbane,NA,Brisbane ,0,NA,storm,1974-0091,-27.43781487,153.0385872
Jan-75,Australia,AUL,900,1978,30087,Newcastle,2,New South Wales,Newcastle,NA, Newcastle,0,NA,storm,1978-0238,-32.87589957,151.7047811
Jan-75,Australia,AUL,900,1978,30088,Wollongong,2,New South Wales,Wollongong,NA, Wollongong ,0,NA,storm,1978-0238,-34.36885599,150.8370731
Jan-75,Australia,AUL,900,1978,30089,Sydney,2,New South Wales,Sydney,NA,Sydney,0,NA,storm,1978-0238,-33.88937695,151.2027403
Jan-76,Australia,AUL,900,1978,30097,Sydney,2,New South Wales,Sydney,NA,Sydney,0,NA,storm,1978-0239,-33.88937695,151.2027403
Jan-76,Australia,AUL,900,1978,30099,Penrith,2,New South Wales,Penrith,NA, Penrith ,0,NA,storm,1978-0239,-33.76538246,150.718052
Jan-80,Australia,AUL,900,1978,30168,Sydney,2,New South Wales,Sydney,NA,Sydney ,0,NA,storm,1978-0240,-33.88937695,151.2027403
Jan-81,Australia,AUL,900,1978,30197,Victor Harbor,2,South Australia,Victor Harbor,NA, Victoria Harbour,0,NA,storm,1978-0204,-35.51278983,138.5461606
Jan-88,Australia,AUL,900,1980,30275,Brisbane,2,Queensland,Brisbane,NA,Brisbane,0,NA,storm,1980-0290,-27.43781487,153.0385872
Jan-97,Australia,AUL,900,1983,30493,Bunbury,2,Western Australia,Bunbury,NA, Bunbury,0,NA,storm,1983-0461,-33.35175452,115.6644751
Jan-97,Australia,AUL,900,1983,30494,Perth,2,Western Australia,Perth,NA,Perth,0,NA,storm,1983-0461,-31.95763436,115.8506628
Jan-98,Australia,AUL,900,1985,30497,Melbourne,2,Victoria,Melbourne,NA,Melbourne,0,NA,storm,1985-0334,-37.8105024,144.9438982
